source,target,weight
124825351,954124423,1
1250407730,954124423,1
1253587788,2596413645,1
125594250,705165834524696577,1
125594250,813914393788481540,1
125594250,915294702454353920,1
125726736,955730343021219840,1
125896734,738153522277945344,1
125918605,239865886,1
125972956,469509327,1
1262669204,302111485,1
126440204,2596413645,1
1264912381,302111485,1
1265831268,954124423,1
126758373,126758373,3
126840137,2596413645,1
127039123,954124423,1
1278440773,954124423,1
1292580415,4880060739,1
129314386,232108392,1
1297284331,954124423,1
1297874544,954124423,1
130319078,78523300,1
1304147659,3244921294,1
1306797326,302111485,1
1309079066,78523300,1
1309157550,954124423,1
1315221762,3244921294,2
1317153438,847176335214678016,1
131954929,302111485,1
1321353132,847735496633536512,1
1321380590,302111485,1
132256531,954124423,1
1324614733,952669848777015296,1
1325205506,954124423,1
132718532,302111485,1
1328599758,954124423,1
133033023,954124423,1
133428481,813914393788481540,1
133428481,898201032332857344,1
1340246784,954124423,1
1356092868,954124423,1
1361076439,738153522277945344,1
136179606,935617716702138368,1
1365891756,302111485,1
1369703395,287843201,1
1370971824,2596413645,1
1371021372,738153522277945344,1
1374607968,2596413645,2
138214798,2596413645,1
139136693,741068948905578500,1
1393737031,125896734,1
1398840546,2596413645,1
140224006,869193235918454786,1
1406751253,954124423,1
1409414198,954124423,1
14231320,707231479047315456,1
1426710036,738153522277945344,1
144570961,954124423,1
144578931,813914393788481540,1
145301122,2596413645,1
1456082443,78523300,1
14604938,2596413645,1
1461458036,932918777196482560,1
146792585,954124423,1
14703036,302111485,1
1473113432,954124423,1
1475796312,3131626023,1
147903950,705165834524696577,1
1483246586,2996265084,1
1487054988,3244921294,1
1488495162,954124423,1
1493827735,4717892303,1
1493827735,909399807030026240,1
1493905530,954124423,1
1493926051,1005366539829342208,1
1493926051,3290923819,1
1493926051,3945972795,1
1493926051,767223706850619393,1
1493926051,903396108013096961,1
1493926051,932660255212953600,1
1493926051,972886740674334720,1
1495747434,954124423,1
1500110215,954124423,1
1518264955,3244921294,1
152054762,287843201,1
15273001,954124423,1
1528925682,2596413645,1
1533339648,3244921294,1
1533584292,954124423,1
1535701380,2596413645,1
15380520,954124423,1
1540130562,813914393788481540,1
1540488114,302111485,1
1541419916,302111485,1
15415753,954124423,1
15428595,1011826452,1
15430971,954124423,1
1544690126,3306484243,1
1544920574,2596413645,2
1544920574,738153522277945344,2
1546826034,78523300,1
155348477,954124423,1
15563891,954124423,1
1562980572,23378774,1
1566572072,2596413645,1
15667937,954124423,1
1568536284,954124423,1
1571409984,1071964740,1
15722134,954124423,1
1580664960,954124423,1
158397313,2596413645,1
1587848900,50797952,1
1599115436,1525739881,1
1605763518,869193235918454786,1
1606291334,302111485,1
1610366419,954124423,1
161600597,14538949,1
161685142,913113293073432576,1
1618649419,3302455838,1
162114552,2596413645,2
1621169875,3244921294,2
1623194148,954124423,1
1625543484,954124423,1
162760870,897619242,1
16318793,954124423,1
1632010742,869193235918454786,1
1635195332,302111485,1
1638874248,738153522277945344,1
1640632176,282055947,1
1648905578,841669206,1
1650896876,869193235918454786,1
1652281578,302111485,1
16557157,2596413645,1
16565784,813914393788481540,1
1658844264,954124423,1
1670604877,869193235918454786,1
1672726728,954124423,1
1673083436,869193235918454786,1
167675699,463256612,1
1681115779,2596413645,1
1681212607,954124423,2
16813535,2678355564,1
1682179470,954124423,1
1684084622,954124423,1
1685937332,954124423,1
168801347,954124423,1
1690876802,954124423,1
1691006022,2596413645,1
1691685290,869193235918454786,1
1692021860,765193688322482176,1
16948307,954124423,1
1696233198,1728451099,1
16999000,2596413645,1
1703464596,954124423,1
17056659,3089155533,1
1710930630,302111485,1
1712115054,302111485,1
1716040428,80330381,1
172374929,2596413645,1
172852209,954124423,1
1733257164,738153522277945344,1
17410751,954124423,1
17494767,954124423,1
175032813,954124423,2
17528683,954124423,1
175329454,287843201,1
17537467,954124423,1
176093287,302111485,1
176678019,2596413645,1
17789960,849282187044192256,1
178410429,302111485,1
180151159,954124423,1
18095140,954124423,1
18146110,954124423,1
181496557,869193235918454786,1
18193108,954124423,1
18349332,738153522277945344,1
18349332,954124423,1
184778730,869193235918454786,1
18489937,3244921294,1
18497684,954124423,1
185034929,954124423,1
185098894,954124423,1
1851158803,586163145,1
1851158803,67813133,1
18512153,954124423,1
1854125544,954124423,1
185579226,2596413645,1
1856434657,705165834524696577,1
1861357040,954124423,1
186784201,2596413645,1
1873044487,869193235918454786,1
18744485,302111485,1
18781426,287843201,1
18790732,2596413645,1
1880671987,2596413645,1
188447005,302111485,1
1891098919,2596413645,1
1891565928,2596413645,1
189940236,2596413645,1
1907779352,954124423,1
1911043860,2596413645,1
1911930780,913113293073432576,1
1912182091,869193235918454786,1
19124171,954124423,1
191267131,954124423,1
192312086,302111485,1
19290986,954124423,1
193002668,3244921294,1
1930755211,954124423,1
19308590,738153522277945344,1
1930980487,2596413645,1
193100541,738153522277945344,1
1931084401,2596413645,1
193357080,738153522277945344,1
19355955,287843201,1
1936536769,2596413645,4
194125348,302111485,1
