id,mentioned_id,mentioned_screen_name
991717019887329280,41778159,geertwilderspvv
993181815560134656,2596413645,carrieksada
992883370265739264,822215679726100480,POTUS
993102076262658048,1471492129,mikek1_7
992912379150090240,41634520,seanhannity
993225879865176064,2367643573,Spotonparts
993406735699279873,597245700,masoud_barzani
992974508599504896,389479556,MFATurkey
993090514089119745,429886782,ViessmannUK
993406203727437826,715176126323286016,kreiten_irma
993406203727437826,14700316,hrw
993406203727437826,267266615,Rachel_Denber
993406203727437826,17557380,amnesty_de
993406203727437826,17839398,KenRoth
993406203727437826,18213483,amnesty
993406203727437826,48326167,GfbV
993274242702692352,17629860,FBI
992856459301081089,51241574,AP
993213196298223617,841859371613224960,fryd_ns
993227180804108289,3344489236,L_Dubba7
993227180804108289,2965018180,xczechcom
993227180804108289,794970416255074304,OsCastillo_747
993227180804108289,980154832672776193,Litaxxat
993227180804108289,3840460152,clawhammer36
993227180804108289,899754928519782400,CJohnso98052964
993227180804108289,4441349242,El_DiabloCabron
993227180804108289,899038097027076100,dantesinfie
993107953745121280,54412900,DevinNunes
993228038505672705,78523300,RealJamesWoods
993268109510234112,25073877,realDonaldTrump
993501961541517312,357686587,7hebadguy
993501961541517312,975476700090978304,KweenofDragonz
993501961541517312,963195669174464512,Catos_Vengeance
993501961541517312,960912310473601024,CjBWylin
993501961541517312,890254363775651841,she_returns
993501961541517312,55931673,NoSoyNoProblem
993550498031656960,98996662,LordMolyneaux
993518193477025792,985499592765726720,Mark55064koff
993344805143957504,989192693073854464,LaPantheraReal
993344805143957504,139499789,Fuctupmind
993344805143957504,776226122992267264,VenomSobold55
993344805143957504,3406938525,thebradfordfile
993344805143957504,497747503,Zola1611
993344805143957504,1931084401,RuthieRedSox
993344805143957504,920021135231553536,USAHotLips
993344805143957504,808152564,PaulLee85
993583620429352961,10228272,YouTube
993518936258822145,920021135231553536,USAHotLips
993518936258822145,819369344752816128,Maggieb1B
993170689099206657,828102379417563137,AnnaCampbell
992737903330643973,2866207078,H_Uncnsored
992737903330643973,3246224453,ilovepantsuECH
992737903330643973,1020891072,TypicalHentai
992737903330643973,778434991,Miku_follower
992737903330643973,875416151370682368,VR_Hentai
993570697782988800,69043420,caitlynbecker
993570697782988800,39871001,NickyHilton
943811578062917632,801085323698704384,zenithdotme
993505837082710017,3140905040,Gigiwinsagain
993505837082710017,890254363775651841,she_returns
993505837082710017,357686587,7hebadguy
993505837082710017,975476700090978304,KweenofDragonz
993505837082710017,963195669174464512,Catos_Vengeance
993505837082710017,960912310473601024,CjBWylin
993505837082710017,55931673,NoSoyNoProblem
993667200853643264,822215679726100480,POTUS
993520471705640961,3472989323,PIsupplements
993652801275219973,2820837124,G4U_raptor
993652801275219973,961127759866159104,WildGoose999
992612181291257857,30973,Starbucks
993584720884764672,2596413645,carrieksada
993584720884764672,21829541,NRA
993584720884764672,36715753,Hoosiers1986
993584720884764672,1931084401,RuthieRedSox
993584720884764672,1618641848,ChristieC733
993584720884764672,92408522,starcrosswolf
993584720884764672,822462665910063105,AMErikaNGIRLBOT
993584720884764672,393190233,LeahR77
993651482502291456,132496568,AGSchneiderman
993684413702725633,2547414878,DouglasGreed
993684413702725633,48316732,djhausUTTU
993459525444423680,83795099,NATO
993459525444423680,988573326376427520,SecPompeo
993459525444423680,118756393,AmbJohnBolton
993569153226235905,912343452607762432,LMAO_Thunder
993653342030123009,237164270,paynedc
993653342030123009,60919240,donnabrazile
993655376582242306,10228272,YouTube
993565509265195008,23083404,KingJames
993565509265195008,4586331372,rushwaiters
993686280235028480,91882544,DineshDSouza
993686280235028480,39308549,DailyCaller
993686280235028480,757832485,LizWFB
993686280235028480,18217624,MicheleBachmann
993557603161726976,357686587,7hebadguy
993486566562717696,139119648,RationalGent
993593086986010625,14775752,VanderbiltU
993640499419516929,728643467413475328,despotate
993444978587262976,80406653,RositaBoland
993657624725000193,608471241,cristinalaila1
993186841745641472,112769454,pjcolbeck
993582230046887937,21829541,NRA
993716238189707265,72198806,SenGillibrand
993511272913219590,965525236132274176,trestegsfel
993511272913219590,561968042,gustavkassel
993511272913219590,707231479047315456,PeterSweden7
993580002980515840,457984599,BreitbartNews
993159442601570304,112769454,pjcolbeck
993295687604256769,822215679726100480,POTUS
993295687604256769,818910970567344128,VP
993295687604256769,15513604,foxandfriends
993295687604256769,67131988,SenatorDanHall
993677543474540544,2320127936,ItsAReckoning
993496921355571201,975476700090978304,KweenofDragonz
993496921355571201,960912310473601024,CjBWylin
993496921355571201,357686587,7hebadguy
993496921355571201,890254363775651841,she_returns
993496921355571201,839935334343454720,DomitiaHonoria
993496921355571201,55931673,NoSoyNoProblem
993690658421460994,920021135231553536,USAHotLips
993690658421460994,193365375,Shakestweetz
993690658421460994,818876014390603776,FLOTUS
993690658421460994,894465693755637760,KatTheHammer1
993690658421460994,966886033152344066,ClintonMSix141
993690658421460994,591505507,michaelbeatty3
993690658421460994,831307291517386753,TrumpGirlStrong
993690658421460994,393190233,LeahR77
993646950854508550,132496568,AGSchneiderman
993656800732827649,2167674121,CarmineZozzora
993656800732827649,499073990,DebraMessing
