id,lang,text
991690747832422400,en,@republic #PeltersAttackKids Anyone indulging in pelting stones is abetting terrorism &amp; must be dealt with steel fist.
991690747815645184,en,chain is the bop of the year you can’t change my mind
991690248399794176,en,A Rigged System - They don’t want to turn over Documents to Congress. What are they afraid of? Why so much redacting? Why such unequal “justice?” At some point I will have no choice but to use the powers granted to the Presidency and get involved!
991674213181337602,en,My culture is NOT your prom dress. https://t.co/xmGN0aCXi9
991362968012115968,ur,ساہیوال والوں نے پی ٹی آئی کے مینار پاکستان والے جلسے کو مات دے دی https://t.co/hygJcwGvkT
991370407503646727,en,Purely local and indigenous crowd. The jalsa was not concentrated at the stadium only but was spread across the length &amp; breadth of Sahiwal https://t.co/NujSfzMDyP
991362968012115968,ur,ساہیوال والوں نے پی ٹی آئی کے مینار پاکستان والے جلسے کو مات دے دی https://t.co/hygJcwGvkT
991370407503646727,en,Purely local and indigenous crowd. The jalsa was not concentrated at the stadium only but was spread across the length &amp; breadth of Sahiwal https://t.co/NujSfzMDyP
991502039627649024,en,"This was in #PuertoRico today. Police used tear gas on people who fight for clean water, electricity, their dignity, their lives. #MayDay  https://t.co/LHXDeFUvyL"
991690747819778048,en,"it’s my best friend birthday!!!! I LOVE YOU💛 thank you for always being there for me! i’m so glad you did cross country, bc we became sooooo close!!!! you’re such an amazing runner, and kind hearted! can’t wait for more memories!🌙💫⭐️😀🌍 https://t.co/tvzJOKNPSG"
991688665385570306,en,Retweet for your chance to win a Leather Patch Hat! Must be following to win. https://t.co/qYI0WvWVMC
989876834732068864,en,How did your April go? Lets us know what you achieved in Clash of Lords 2 below! https://t.co/n6SFuScdCU
991393792539447296,en,"PLEASE SHARE!! BENJAMIN - 25691 - Benjamin is a 3.5 year old, male, domestic short hair. Client had him since he was a week old and unfortunately has to surrender due to...  Follow me here for more info and status updates: https://t.co/j3s9XEKX1x https://t.co/RfqPAcUsKT"
991410536440123393,en,you mean to tell me all negroes had to do was opt out of slavery??
991417964313350149,en,All you had to do was text STOP to 1863 https://t.co/viQ48pG9QM
991410536440123393,en,you mean to tell me all negroes had to do was opt out of slavery??
991417964313350149,en,All you had to do was text STOP to 1863 https://t.co/viQ48pG9QM
991690752014012416,en,@MichiChar27 !!!!!! Heck yeah buddy!!!! ♡♡
990584067107250176,en,Happy National #SmallBusinessWeek! We're celebrating America's 30 million small businesses. Learn how you can participate → https://t.co/5p3KzUge75 https://t.co/EFiw3B3MWk
991690752009764868,en,IT ISNT IN MA BLOODDDD  I NEED SOMEBODY NOWWWW
991690752035090433,en,We are able to do a book trailer using Scratch… https://t.co/hNH88KT0rb
991690752035098624,en,I pop like I got it i’m holding my weight
991690752001536001,en,@mandie_czech Skating: it's not as easy as it looks. Takes a dedicated athlete and true showmanship to make it look that easy. I have watched the painstaking process for 20 years. I KNOW how hard it is! 😬👏💪⛸️⛸️⛸️💖
991690248399794176,en,A Rigged System - They don’t want to turn over Documents to Congress. What are they afraid of? Why so much redacting? Why such unequal “justice?” At some point I will have no choice but to use the powers granted to the Presidency and get involved!
991689269755482112,en,Six Apps To Help You De-Stress https://t.co/gygXU6YGM6
954369607653117952,en,"New whitepaper: It's the Experience Economy, Stupid.... https://t.co/OO3yTyEHmo Thanks @richrelevance for enabling me to share these ideas on personalization in today's Experience Economy https://t.co/MpAqXyOY4G"
933142878188195840,en,I miss wipeout 😂 https://t.co/eRpbyK2EHW
991690752026599425,en,@Nickho_Mismo Nice lol
991690752035115008,en,FINALLY SOMEOEN SAID IT OH MY GOD ive been blessed https://t.co/LW1DMrdDeR
991689985186238466,en,.@kanyewest what do you make of record U.S. crude production in the latest DOE report?
991643814669438976,en,The Celebration That Ajith Fans Done In Social Media &amp; Theaters For Bday Will Be 0.999999999....% Of Thalapathy Fans Celebrations On Thalapathy Bday. ! #June22 Is Coming .! 🔥✌️
991479362435403776,en,"Relax, i'm yours."
991627235642695680,en,Now you can keep enjoying even more social media with the new dhiraagu postpaid! 😎  FREE social apps offer extended until 31 May 2018. https://t.co/jk2OPXPKLQ
991290360352722945,en,In celebration of peace between North and South Korea....How can anyone question @POTUS and his ability to lead our country! Thank you so much Mr. President! https://t.co/vHKCHp7140
991633764802428928,en,"180502 [Twitter]  Followers today: ⬆3,975 #MTVBRKPOPEXO: 2,170 tweets in the last hour #EXO: 800 tweets in the last hour Followers total: 2,963,304  Please include #EXO in your tweets too! It will increase the social media point :)"
991690410467708928,en,idk why my video is muted but look at them :(( look at how beautiful jae is ahhhh https://t.co/PaIkjJJcTc
991690756225036289,en,@sfernandez825 Yess
991672693991788545,en,MAGA=MAKE AMERICA GLEESH AGAIN
991690756221005825,en,literacy is  intellectuality  yet it is still hard
991690756229300230,en,"@RINMichaelis @Queranus77 @SocioEqualiser @BellDingerr @RationalDis @cultofdusty I never said that race and culture were the same thing, or that one was based off another, btw."
991690756208328704,en,@RetiredArnieGD Hey team! Which gym is this? I'd love to find a Visually Impaired friendly gym to join.
991672075491438594,en,NEW BOOK - A MUST READ! “The Russia Hoax - The Illicit Scheme to Clear Hillary Clinton and Frame Donald Trump” by the brilliant Fox News Legal Analyst Gregg Jarrett. A sad chapter for law enforcement. A rigged system!
948000185916981248,en,Dis. My. Same. Goal. Higher heights and thicker depths. RT @gabgotti: may my fro reach higher heights this year.  amen. #naturaltwitter #4chair
991690756233617408,en,Still. And the fro is cooperating thus far. https://t.co/HtvL1u2FX7
948000185916981248,en,Dis. My. Same. Goal. Higher heights and thicker depths. RT @gabgotti: may my fro reach higher heights this year.  amen. #naturaltwitter #4chair
991690756233617408,en,Still. And the fro is cooperating thus far. https://t.co/HtvL1u2FX7
991495074176520192,en,#IfSlaveryWasAChoice                             Co-slave: can you cover my shift on the field tonight? Me: https://t.co/wDxtQGRUTU
991237988175794177,en,📸 Sorry if it hurts you! https://t.co/jcbKvojnTz
991418640863023105,en,"If the president of Nigeria was a hamster, they would still make a guard of honour.  So, the real story here is... When you have no tangible achievements, mundane things like walking down an aircraft becomes something to celebrate.  Mr Kayode, I am deeply sorry if this hurts you. https://t.co/o5XfzS5afC"
991237988175794177,en,📸 Sorry if it hurts you! https://t.co/jcbKvojnTz
991418640863023105,en,"If the president of Nigeria was a hamster, they would still make a guard of honour.  So, the real story here is... When you have no tangible achievements, mundane things like walking down an aircraft becomes something to celebrate.  Mr Kayode, I am deeply sorry if this hurts you. https://t.co/o5XfzS5afC"
991690068158009344,en,How much have the Trump brothers' overseas business trips cost you? https://t.co/navGMLyiS2
991690756221034497,en,His new raincoat makes him look like some sort of red warlock. #cats #cutecats #bestmeow https://t.co/dkpun3f2OP
991690756225191938,en,A dream coming true in #Maranello. #Ferrari https://t.co/ibQ1AI6f4g https://t.co/ciiCEl6juF
991690382760017920,en,how to be changbin? https://t.co/NSblv7FYw0
987781800457056256,en,okay since we’ve brought back dudes wearing nail polish lets bring back dudes wearing eyeliner rt if you agree
991690760398356480,en,@febiolaaditya @deasafierra @karinaarohma @aviolitta Is this the same guy as the guy on the picture you sent me? 😱😱
991681512859779072,en,#Richman_Junmyeon is a drama that showcase Junmyeon's growth as an actor. Our hardworking leader. We got your back!    #EXO @weareoneEXO #엑소   #PremiosMTVMiaw #MTVBRKPOPEXO #EXO_CBX https://t.co/2Lnuu0N2yh
991398738051649537,en,"the MVPs of infinity war, they were the true heroes. https://t.co/GiI3jO5LWo"
991386499869425664,en,local girls : omg why can’t girls just be nice to eachother 😩✨💕 also local girls : *slut shames *body shames * can’t stop talking shit *can’t mind their business
989525778424451072,en,"I am boycotting @coindesk's Consensus 2018 conference this year, and strongly encourage others to do the same. Here is my reasoning why.  1. Coindesk is recklessly complicit in enabling giveaway scams. See their latest article on OMG, which *directly links* to a giveaway scam. https://t.co/WDr9uZ8XOw"
991690760411144193,en,HAMILTON IN THREE DAYS YALL
991681886845132801,en,Tony Romo is thriving in retirement. He's currently tied for the lead in an amateur golf tournament after one round. https://t.co/M6flmg6J0Y
991555894956777472,en,A Designer’s Guide to Usability Testing https://t.co/w9ARb0NbzV #ux
