id,original_tweet_id,retweeted_date,author_id,original_author_id,screen_name,original_screen_name
991690764592836609,991680420411473920,2018-05-02 14:47:57,2721886694,201860898,MSill3,MignonSnooker
991690764592836609,991680420411473920,2018-05-02 14:47:57,2721886694,201860898,MSill3,MignonSnooker
991690764592861184,991381321967652864,2018-05-02 14:47:57,4186792817,2309098640,nym_okami_army,youdidwell_
991690764622159872,991273874745675777,2018-05-02 14:47:57,889613082141626370,3504027029,agd2ts,scrooge_yoongi
991690768795357185,991101603972198400,2018-05-02 14:47:58,789339060,2591484932,horohoro_no_mi,wintrseb
991690768791363584,991662338674606080,2018-05-02 14:47:58,3886187354,15513604,rollingtothetop,foxandfriends
991690768799748099,991669131463266310,2018-05-02 14:47:58,236493002,15206103,mistylou1966,peterwalker99
991690768799629312,991260761262579712,2018-05-02 14:47:58,127013609,531567264,NeeNeeMarkia,a1fbgmn
991690772977139712,991546572541489153,2018-05-02 14:47:59,908900721797382145,815676584204128256,ThuQuyen12,ARMYNATION_TM
991690772977274880,991690073560305666,2018-05-02 14:47:59,2703513226,16012783,smackmom25,thedailybeast
991690772972896257,991386499869425664,2018-05-02 14:47:59,2672228354,754035951458934784,9xRobbie,xbasedxgoddess
991690772977278976,991515859989516288,2018-05-02 14:47:59,339651986,2727759108,JayClarkOH,rickwormeli2
991690773010755584,991429984450482176,2018-05-02 14:47:59,954099267584581633,1589251639,crytypo,MrFilmkritik
991690772993970176,991021374914400258,2018-05-02 14:47:59,830096068176121856,397842176,sousanxo,Joedyd
991690772977274882,991468035939749893,2018-05-02 14:47:59,2564528712,37045743,princessaam_,_Urri
991690772977274882,991468035939749893,2018-05-02 14:47:59,2564528712,37045743,princessaam_,_Urri
991772314453889025,991716465060478977,2018-05-02 20:12:00,48603051,129931114,scknurr,PatVanBrunt
991772314458099720,991700800702418944,2018-05-02 20:12:00,1344022837,15735939,eddyrogerparker,jefftiedrich
991772314441322498,991759255651979264,2018-05-02 20:12:00,1507269835,15012486,FallonTm,CBSNews
991772314453925888,991751968057167873,2018-05-02 20:12:00,2482487329,214120461,WendellAlbright,ryanlcooper
991772314449661952,991721393149698049,2018-05-02 20:12:00,988593370179227648,3000682286,trevinoemmaa,nappyyyhead
991772314453848065,991763115573481473,2018-05-02 20:12:00,4887350187,1543727803,WomaniaEmpire,SmVanJoh
