id,mentioned_id,mentioned_screen_name
991381321967652864,852807556074315781,_girlkind
991690764622221312,14709647,tulsaworld
991690764622221312,171680731,aWorldofKC
991690768799547398,4887922523,Sasha03121975
991690768799547398,3104206934,ShadowhuntersTV
991690768812269569,45148296,dinarickman
991690768791277568,3211794400,SnrHunted
991690768791277568,972428682588491776,ZenVanye
991690768803868674,40894553,MentalHealthAm
991690768778702848,40894553,MentalHealthAm
991546572541489153,335141638,BTS_twt
991546572541489153,15846407,TheEllenShow
991690772973047808,2734953286,ramblingsloa
991690772981350401,50032041,What_Meow
991515859989516288,935932677278007297,TeacherAndAdmin
991690773006610432,55520719,shreyaghoshal
991716465060478977,15745368,marcorubio
991772314437148674,18247062,JudicialWatch
991763115573481473,456908567,MsMorriganHel
991763115573481473,778854544348422144,OWKreal
991763115573481473,4887350187,WomaniaEmpire
991763115573481473,827813109293252608,OWK_CASTLE
991763115573481473,4880720777,DOMINITY2
991772314458099717,1347947466,Berti_and_Ernie
991772314470625280,968589876265353216,Fml01893052
991772314470625280,905741346442502148,DeppresseDJack
991772314470625280,1341925866,RealSportsTaIk
991772314470625280,45641891,1fredo
991772314470625280,341837453,TylerWhite8
991772314470625280,1712115054,Soslamy23
990569987915091968,123190606,MissJadeJones
990569987915091968,110433295,EnglishMansion
992668217788239874,893538712113512449,Crypto_Ed_NL
992668217775570944,1206438421,labratofsociety
992668217779871744,23115658,nadeemhaque
992668217779871744,286042531,TalatHussain12
992668217804963840,503779036,joeyvictor24
992668217804963840,58296661,Shonn71
991772318639771648,31199253,Methuselah52
991772318639771648,882667807728693249,CaroleAlways45
991772318656589824,2482833568,DCFilmsHub
991772318656589824,18173624,DCComics
991738246861348864,3108351,WSJ
991738246861348864,3108351,WSJ
991772318669180928,2201551945,rad_acs
991771601791275011,1059053738,Jewelapplesauce
991772318643965957,63865488,LORDGULLEY
991703776779268097,2340216361,CllrBMurray
991703776779268097,332439570,johnprince8
991717295314567168,92026651,ElizabethLabour
991703776779268097,2340216361,CllrBMurray
991703776779268097,332439570,johnprince8
991717295314567168,92026651,ElizabethLabour
992668222003466240,10228272,YouTube
992652011077222402,64478955,hariips
992652011077222402,982516347996393472,IndoreCollector
992652011077222402,764050691723714565,DGP_MP
992652011077222402,1251083774,ChouhanShivraj
992652011077222402,734307704,brajeshabpnews
992652011077222402,2574088589,VTankha
991770739601797120,108286674,BernardMarr
991770739601797120,91478624,Forbes
991772322846593024,23760571,TeamThirstTrap
991772322846593024,155805303,Greinkschmidt
991772322846593024,25323189,michebag22
991772322846593024,500485708,MrVincredible
992649464996229121,3259381375,thatsbellayt
992649464996229121,3259381375,thatsbellayt
991667853500788736,73218364,TheRealGZA
