id,media_id,type,url
991725325489876993,991723704273928192,video,https://pbs.twimg.com/ext_tw_video_thumb/991723704273928192/pu/img/HqHyj5-te0MqUQI9.jpg
991757883825061889,991755994295349250,video,https://pbs.twimg.com/ext_tw_video_thumb/991755994295349250/pu/img/oGG6jlC53XBAyhs9.jpg
991757883825061889,991755994295349250,video,https://pbs.twimg.com/ext_tw_video_thumb/991755994295349250/pu/img/oGG6jlC53XBAyhs9.jpg
992667887671365634,992667876569034752,photo,https://pbs.twimg.com/media/DcaqLKLWsAAGOqr.jpg
992624018854498305,992623923232567297,video,https://pbs.twimg.com/ext_tw_video_thumb/992623923232567297/pu/img/Iq2tMcc2-DF6feij.jpg
991490726541213696,991490656278216704,video,https://pbs.twimg.com/ext_tw_video_thumb/991490656278216704/pu/img/F94l5y6n-pMiGPSh.jpg
907954025798172673,907954017078173696,photo,https://pbs.twimg.com/media/DJmzXjRVYAAaahg.jpg
991772322842497026,991772286825967616,photo,https://pbs.twimg.com/media/DcN7o-ZWsAAwoRi.jpg
992668221995143168,992668216479674368,photo,https://pbs.twimg.com/media/Dcaqe8cXcAA9hpd.jpg
991312342884462596,991312338455289857,photo,https://pbs.twimg.com/media/DcHZUdMW4AELYWB.jpg
992668226164113408,992668223295258624,photo,https://pbs.twimg.com/media/DcaqfV1VAAA5k3R.jpg
991483808443781120,991483795550302208,photo,https://pbs.twimg.com/media/DcJ1QkpU8AAIhW2.jpg
990010580315537408,990010556605190144,video,https://pbs.twimg.com/ext_tw_video_thumb/990010556605190144/pu/img/rpRv8omxp8EIlSic.jpg
990010580315537408,990010556605190144,video,https://pbs.twimg.com/ext_tw_video_thumb/990010556605190144/pu/img/rpRv8omxp8EIlSic.jpg
992668230371049474,992668228785602562,photo,https://pbs.twimg.com/media/DcaqfqSVAAIDsJd.jpg
992207009641631745,992206886547214338,video,https://pbs.twimg.com/ext_tw_video_thumb/992206886547214338/pu/img/v6aRrmLwQtMr32yp.jpg
991585792735793152,991585148520017920,animated_gif,https://pbs.twimg.com/tweet_video_thumb/DcLRcF4WsAAp_CR.jpg
991789751920455680,991789438735978496,video,https://pbs.twimg.com/ext_tw_video_thumb/991789438735978496/pu/img/el7xON7HDu_4YmGj.jpg
992289385079963648,992288859856687106,video,https://pbs.twimg.com/ext_tw_video_thumb/992288859856687106/pu/img/6FFEga392Lv2n8gQ.jpg
991740205450309632,991739932375859200,photo,https://pbs.twimg.com/media/DcNeNsrVQAAhz9d.jpg
991740205450309632,991739930844917760,photo,https://pbs.twimg.com/media/DcNeNm-U8AAjJVu.jpg
991740205450309632,991739931927040000,photo,https://pbs.twimg.com/media/DcNeNrAU0AABe7q.jpg
991740205450309632,991739930190561281,photo,https://pbs.twimg.com/media/DcNeNkiUQAEB9RZ.jpg
991788665625030656,991788661569216523,photo,https://pbs.twimg.com/media/DcOKiHEX4AsFvuW.jpg
991740205450309632,991739932375859200,photo,https://pbs.twimg.com/media/DcNeNsrVQAAhz9d.jpg
991740205450309632,991739930844917760,photo,https://pbs.twimg.com/media/DcNeNm-U8AAjJVu.jpg
991740205450309632,991739931927040000,photo,https://pbs.twimg.com/media/DcNeNrAU0AABe7q.jpg
991740205450309632,991739930190561281,photo,https://pbs.twimg.com/media/DcNeNkiUQAEB9RZ.jpg
991506282728361984,991506021788061699,video,https://pbs.twimg.com/media/DcKJsy0WAAAUhMw.jpg
991809847724306432,991809838249164800,photo,https://pbs.twimg.com/media/DcOdywWUQAAH01f.jpg
991809847724306432,991809838261784577,photo,https://pbs.twimg.com/media/DcOdywZU0AEAUPK.jpg
991506282728361984,991506021788061699,video,https://pbs.twimg.com/media/DcKJsy0WAAAUhMw.jpg
992456556565422081,992456480996691969,photo,https://pbs.twimg.com/media/DcXp6UTXkAEDrx7.jpg
991516060758224896,990649746300665856,video,https://pbs.twimg.com/ext_tw_video_thumb/990649746300665856/pu/img/x-2ANL6fa5oBgYFD.jpg
991423317348438018,991423307122659328,photo,https://pbs.twimg.com/media/DcI-PrsW0AACP3P.jpg
991133900201168899,991133894543118337,photo,https://pbs.twimg.com/media/DcE3Bp0XkAE1OZl.jpg
991133900201168899,991133894547296256,photo,https://pbs.twimg.com/media/DcE3Bp1XUAACAho.jpg
991772335429554176,991772306929172480,photo,https://pbs.twimg.com/media/DcN7qJSVQAAq1iQ.jpg
991772335429554176,991772306941689856,photo,https://pbs.twimg.com/media/DcN7qJVUQAAWHix.jpg
991441566626496512,991441500708847617,video,https://pbs.twimg.com/ext_tw_video_thumb/991441500708847617/pu/img/6vDxJDTe7N3gUuN3.jpg
992193391894155265,992193383111319553,photo,https://pbs.twimg.com/media/DcT6oATX4AEpWEn.jpg
992193391894155265,992193383132291073,photo,https://pbs.twimg.com/media/DcT6oAYX4AEX8dq.jpg
992193391894155265,992193383140610050,photo,https://pbs.twimg.com/media/DcT6oAaW0AI2YsC.jpg
992193391894155265,992193386743558144,photo,https://pbs.twimg.com/media/DcT6oN1XcAALiIw.jpg
991788676437835776,991788239869628417,photo,https://pbs.twimg.com/media/DcOKJkHW0AEP-Tb.jpg
991521893776744448,991521743712890880,photo,https://pbs.twimg.com/media/DcKXxckVMAAYHfa.jpg
991400076516864000,991399976352673793,photo,https://pbs.twimg.com/media/DcIpBpzU8AEj6ZI.jpg
991400076516864000,991399976361115648,photo,https://pbs.twimg.com/media/DcIpBp1VwAABKo7.jpg
992036212897730560,992035911960539136,video,https://pbs.twimg.com/ext_tw_video_thumb/992035911960539136/pu/img/CAZWMbO19y9v76HO.jpg
991400076516864000,991399976352673793,photo,https://pbs.twimg.com/media/DcIpBpzU8AEj6ZI.jpg
991400076516864000,991399976361115648,photo,https://pbs.twimg.com/media/DcIpBp1VwAABKo7.jpg
992036212897730560,992035911960539136,video,https://pbs.twimg.com/ext_tw_video_thumb/992035911960539136/pu/img/CAZWMbO19y9v76HO.jpg
992127391429484545,992127390200614912,photo,https://pbs.twimg.com/media/DcS-mtjX0AAiQjT.jpg
992681010696466432,992680694294888448,photo,https://pbs.twimg.com/media/Dca11P7VwAAjm-p.jpg
992681010696466432,992680694219292672,photo,https://pbs.twimg.com/media/Dca11PpUQAAhkkV.jpg
992681010696466432,992680694252879872,photo,https://pbs.twimg.com/media/Dca11PxUwAAKE1I.jpg
992681010696466432,992680694206808065,photo,https://pbs.twimg.com/media/Dca11PmVwAEAF2M.jpg
991513768009007104,991513753832144896,photo,https://pbs.twimg.com/media/DcKQgX8UQAAT2Hb.jpg
992681010696466432,992680694294888448,photo,https://pbs.twimg.com/media/Dca11P7VwAAjm-p.jpg
992681010696466432,992680694219292672,photo,https://pbs.twimg.com/media/Dca11PpUQAAhkkV.jpg
992681010696466432,992680694252879872,photo,https://pbs.twimg.com/media/Dca11PxUwAAKE1I.jpg
992681010696466432,992680694206808065,photo,https://pbs.twimg.com/media/Dca11PmVwAEAF2M.jpg
991772339611357185,991772317561835521,photo,https://pbs.twimg.com/media/DcN7qw5W0AERD16.jpg
991788680615313408,972306602857385984,photo,https://pbs.twimg.com/media/DX5TtCwU0AAklfg.jpg
