id,original_tweet_id,replied_date,author_id,original_author_id,screen_name,original_screen_name
991772347995774977,991771854468677632,2018-05-02 20:12:08,392307627,42426238,MoneyTeamK,BrownManXav__
992664892598620160,992664190379810816,2018-05-05 07:18:47,37026773,1652541,fortismind,Reuters
991903176742785024,991780404737781760,2018-05-03 04:52:00,797248755896434688,214257117,GunGuy14,THEBenWilhelm
991724160689754112,991724133531639808,2018-05-02 17:00:39,4127789114,4127789114,iam_ginghs,iam_ginghs
991788689029185536,991664646028496896,2018-05-02 21:17:04,2938855154,14777649,PatPedrus,LewisHowes
991755956659937282,991668060045135872,2018-05-02 19:07:00,985080397875773448,2885885541,KC_Denis,thestarwormwood
991724047124914176,991724042548928512,2018-05-02 17:00:12,110453483,110453483,silv24,silv24
991824378080854016,991822096748765184,2018-05-02 23:38:53,3310426131,2973499941,NO2USPLUTOCRACY,GeoffMiami
991755956664131585,991606638288269312,2018-05-02 19:07:00,2704677292,109696076,AminahLover,HollyLewinski
992684596553695232,992683564184424449,2018-05-05 08:37:05,984032331605397506,3019223910,ciavinola,porotatoe
991903180953829377,991903132853592065,2018-05-03 04:52:01,251912832,160065385,Ja_es_,V1ndy_
991772352219303936,991771386606567424,2018-05-02 20:12:09,891502498212532224,891502498212532224,bridalmika,bridalmika
991788697417744384,991769116989050880,2018-05-02 21:17:06,22176520,1419366470,carnaroys,SueEllCee
991788701607870465,988938813073477633,2018-05-02 21:17:07,26524902,231925396,Robeks,_michaelsanta
991919534519955456,991914906491408386,2018-05-03 05:57:00,2227534621,481814900,lesliearellanoo,_jocelynvega
991903180932853760,991903178634547202,2018-05-03 04:52:01,136922447,136922447,_kingblackwell,_kingblackwell
992684600731295744,992558607156867072,2018-05-05 08:37:06,913439238082920448,1216789842,cranialrectal1,DearAuntCrabby
991919538701647872,991849497071366145,2018-05-03 05:57:01,803499087978905600,41634520,incubosales,seanhannity
991788705797947392,991788504488161280,2018-05-02 21:17:08,483234497,2577166478,deborahhsarah,castillo11_rod
991772352219439104,981393299411013632,2018-05-02 20:12:09,2885608544,978773409466277888,Cant_ever_even,StandSecond
991805034232008704,991804617142034432,2018-05-02 22:22:01,278357567,97155764,Zujabes,TBKdaBEATGOD
991805034240401408,991804199519375360,2018-05-02 22:22:01,374284055,101400269,steffybubblez1,doug_TheBroke
992386032862547969,992386019726049280,2018-05-04 12:50:42,850002992484933632,850002992484933632,etherealkdrama,etherealkdrama
991805034236014592,988020362511290368,2018-05-02 22:22:01,14632952,60078746,ebaydev,gapti
991755960845774849,991722277145382912,2018-05-02 19:07:01,586579018,3292928259,irishalan2,Jamesofmont
992684604934017024,992521475520331776,2018-05-05 08:37:07,17836518,208707446,HelenmichelleD,helzdonnelly
992684604917239809,992682878415785984,2018-05-05 08:37:07,956400685972672512,815028678241288197,artwastenot,thehelmet_guy
991772356413677568,991765933525004289,2018-05-02 20:12:10,31495584,79117930,Jodz_Lea,RenZeus_
991772356388454401,991557968029249537,2018-05-02 20:12:10,3144138047,338329289,stevo098765,wykefarms
991788697413652480,991778666928537600,2018-05-02 21:17:06,385029074,265902729,muskita0,BBCSport
991788701608013824,991788395293650944,2018-05-02 21:17:07,543748441,3168243956,TreyGriffeth,SidAlpha
991788693219364865,991768771625963521,2018-05-02 21:17:05,49023129,18643437,cjtruth,PrisonPlanet
992668268119773185,992664015040987136,2018-05-05 07:32:12,1284981877,967652179,carlosbenito__,garcia_dezerae
991772356380188673,991710700262313984,2018-05-02 20:12:10,942560045287559169,22014993,ReyAbundez19,1010XL
991772356396896256,936636257731522560,2018-05-02 20:12:10,786753938993315840,509650521,SUPREME_SALEZ,HotFernace
991872126989807621,991868103167430656,2018-05-03 02:48:37,77509999,77509999,sunandavashisht,sunandavashisht
991903193499033600,991901356494589952,2018-05-03 04:52:04,700789930818191361,43195174,SpritusInvictus,stevendupler
991837745604583424,991836547770007552,2018-05-03 00:32:00,464964722,37377712,Love_VanessaMia,dnastyyy_
991805034240397313,991802258110197761,2018-05-02 22:22:01,869982794092564488,2610767592,KerfuffleBuff,CacCla661
991805038421929984,991778168368521216,2018-05-02 22:22:02,369751125,477198250,sarahjeanmaher,MikeTolkien
991755960858370048,991508235663413248,2018-05-02 19:07:01,114000905,377768026,TomHollandKS,LaWheezie
991837143516368896,991836816876625920,2018-05-03 00:29:37,2655320984,38695489,tstahle15,KindredPast
991788701616361474,991788700009889793,2018-05-02 21:17:07,1877290220,1877290220,yaboyzac_,yaboyzac_
991788722592141313,991786638505336832,2018-05-02 21:17:12,364924292,2684007636,AaronBaunee,ktompkinsii
991903193528352768,991899215549808641,2018-05-03 04:52:04,925100820584001536,1965420800,CharlieVTX,NormEisen
991837143516368896,991836816876625920,2018-05-03 00:29:37,2655320984,38695489,tstahle15,KindredPast
991837745613033472,991747407292624898,2018-05-03 00:32:00,900888624849408000,2730793883,kristy_landi,natalie_perejda
991772360586989569,991771106481713154,2018-05-02 20:12:11,134048471,4817442967,orangecatcher,ArtistMukund
991772360608043008,991760777206992896,2018-05-02 20:12:11,421972189,235504557,_SophieJoseph,llyrthegreat
992680357731414017,992678724666511360,2018-05-05 08:20:15,2322081114,955325150865408008,GrabID,honeykim0_
991337498583314432,991335659406176261,2018-05-01 15:24:12,911274089376915456,4698083834,Ally_oopsy,WonderRhys
991788697401090048,991788500818321408,2018-05-02 21:17:06,17135399,2178956316,GuipureGwen,porqueporque
981527816318545920,981527418669121536,2018-04-04 13:44:01,1967021779,1967021779,WeGotLoves,WeGotLoves
991755960854220801,991594866353299456,2018-05-02 19:07:01,750642404756160512,3133114373,Anirahtak0107,tho_maze
