id,country_code,name,place_type
991642232808726528,US,Sharpes,city
991707025909436417,GB,Romford,city
991107848963796997,US,Tampa,city
991707025922035712,US,Lindenhurst,city
991506880144003073,US,Philadelphia,city
991835956293521408,US,Los Angeles,city
991004037452587008,US,Miami Beach,city
991004037452587008,US,Miami Beach,city
992733879600599040,US,East Lansing,city
991739842152321029,GB,Epsom,city
992733879600599040,US,East Lansing,city
991739842152321029,GB,Epsom,city
990920181932158977,PH,Batangas City,city
991690835916935169,US,Miami,city
991709413848346624,US,Gainesville,city
992733888026988544,GB,Lincoln's Inn Fields,poi
991673112096919553,US,Brooklyn,city
991685926551146496,IN,Bengaluru,city
991685926551146496,IN,Bengaluru,city
991102076796178432,US,New York,admin
991102076796178432,US,New York,admin
991690844301381633,US,Brooklyn,city
991516995920199680,US,Durham,city
991701221722460161,US,Baltimore,city
991690418055151618,US,Lake Shore,city
991660040280072193,US,Houston,city
991660040280072193,US,Houston,city
990769110119305216,US,Upper Grand Lagoon,city
988288685203484672,US,Madisonville,city
991706129553068032,US,Manhattan,city
991478710065942529,US,South Carolina,admin
991723484366680065,US,Manhattan,city
991567926359740416,KE,Nairobi,city
990987122894036992,US,Graham,city
990987122894036992,US,Graham,city
991643690568372224,PH,Aurora,city
991707076245245952,US,Toledo,city
991461594092666880,US,Warwick,city
991667335164461058,GB,Leeds,city
991382504538951683,IN,Bengaluru,city
991704542722043906,US,Philadelphia,city
991706973908471808,US,Huntsville,city
991706973908471808,US,Huntsville,city
991120185661837314,US,Five Points,city
991690652432793600,US,Los Angeles,city
991690652432793600,US,Los Angeles,city
959073706617143296,IN,Tambaram West,neighborhood
991089176769576961,US,Reno,city
991379686176342016,IN,Thane,city
991089176769576961,US,Reno,city
991670405353140225,US,Georgia,admin
991707101427679232,IN,Kurnool,city
991690894612008961,US,Kendale Lakes,city
991409486219890688,US,Memphis,city
990628479552147457,IN,Mumbai,city
989177367389237248,US,College Park,city
990728406038994944,US,Lubbock,city
991523482767945729,US,Mount Pleasant,city
992668469438054406,TH,Chalong,city
991690932369141760,US,Pennsylvania,admin
991690932369141760,US,Pennsylvania,admin
991690936584429569,US,Cleveland,city
